단원명,문제번호,문제,정답,해설
1-2. 분묘기지권,1,분묘기지권을 시효취득한 사람은 시효취득한 때부터 지료를 지 급할 의무가 발생한다.,X,토지소유자가 지료를 청구한 날부터
1-2. 분묘기지권,2,"甲이 자기 소유 토지에 분묘를 설치한 후 그 토지를 乙에게 양 도하면서 분묘를 이장하겠다는 특약을 하지 않음으로써 甲이 분묘기지권을 취득한 경우, 특별한 사정이 없는 한 甲은 분묘의 기지에 대한 토지사용의 대가로서 지료를 지급할 의무가 없다.",X,분묘기지권이 성립한 때부터 지료를 지급 할 의무가 있어요.
1-2. 분묘기지권,3,분묘기지권은 지상권 유사의 관습상 물권이다.,O,판례의 내용이에요
1-2. 분묘기지권,4,분묘기지권의 존속기간은 지상권의 존속기간에 대한 규정이 유 추적용되어 30년으로 인정된다.,X,"분묘의 수호와 봉제사를 계속하는 한, 그 분묘가 존속하고 있는 동안은 분묘기지권 은 존속해요"
1-2. 분묘기지권,5,분묘기지권의 효력이 미치는 범위는 분묘의 기지 자체에 한정 된다.,X,분묘 기지에만 미치면 어디에서 절을 해 요. 분묘의 주위 공지까지 미쳐요.
1-2. 분묘기지권,6,분묘기지권에는 그 효력이 미치는 범위 안에서 새로운 분묘를 설치할 권능은 포함되지 않는다.,O,그럼요. 남의 땅이잖아요
1-2. 분묘기지권,7,장래의 묘소(가묘)는 분묘에 해당하지 않는다.,O,가묘는 분묘기지권을 취득할 수 없다는 말이죠.
1-2. 분묘기지권,8,분묘기지권은 권리자가 의무자에 대하여 그 권리를 포기하는 의사표시를 하는 외에 점유까지도 포기해야만 그 권리가 소멸 하는 것은 아니다.,O,포기하는 의사표시만 하면 분묘기지권은 소멸해요.
1-2. 분묘기지권,9,분묘기지권을 취득한 자는 그 분묘기지권의 등기 없이도 그 분 묘가 설치된 토지의 매수인에게 대항할 수 있다.,O,그럼요.
1-2. 분묘기지권,10,분묘기지권은 등기사항증명서를 통해 확인할 수 없다.,O,등기가 되지 않으니까요.
1-2. 분묘기지권,11,평장의 경우에도 유골이 매장되어 있는 때에는 분묘기지권이 인정된다.,X,봉분이 있어야 함
1-2. 분묘기지권,12,분묘기지권이 인정되는 분묘가 멸실되었더라도 유골이 존재하 여 분묘의 원상회복이 가능하고 일시적인 멸실에 불과하다면 분묘기지권은 소멸하지 않는다.,O,판례예요.
1-3. 장사 등에 관한 법률,13,"장사 등에 관한 법률의 시행에 따라 그 시행일 이전의 분묘기 지권은 존립 근거를 상실하고, 그 이후에 설치된 분묘에는 분묘 기지권이 인정되지 않는다.",X,장사법 시행 전 이미 취득한 분묘기지 권은 장사법 시행 이후에도 그 효력은 계속 유지돼요.
1-3. 장사 등에 관한 법률,14,장사 등에 관한 법률이 시행되기 전에 설치된 분묘의 경우 그 법의 시행 후에는 분묘기지권의 시효취득이 인정되지 않는다.,X,장사법 시행 전 설치된 분묘는 현재 분 묘기지권의 시효취득이 가능해요.
1-3. 장사 등에 관한 법률,15,장사 등에 관한 법률 시행일(2001. 1. 13.) 이후 토지 소유자 의 승낙 없이 설치한 분묘에 대해서 분묘기지권의 시효취득을 주장할 수 있다.,X,장사법 시행 후 설치된 분묘는 분묘기 지권을 시효취득할 수 없어요.
1-3. 장사 등에 관한 법률,16,개인묘지란 1기의 분묘 또는 해당 분묘에 매장된 자와 배우자 관계였던 자의 분묘를 같은 구역 안에 설치하는 묘지를 말한다.,X,부부는 가족이 아니니까요.
1-3. 장사 등에 관한 법률,17,개인묘지를 설치하고자 하는 자는 시장 등의 허가를 받아야 한다.,X,"개인묘지는 30일 이내에 신고, 가족·종 중·문중·법인묘지는 모두 설치 전에 허 가를 받아야 해요."
1-3. 장사 등에 관한 법률,18,가족묘지를 설치하려면 해당 묘지를 관할하는 시장 등의 허가 를 받아야 한다.,O,가족묘지는 허가
1-3. 장사 등에 관한 법률,19,개인묘지는 30m²를 초과해서는 아니 된다.,O,개인묘지 면적 30m² 이하
1-3. 장사 등에 관한 법률,20,"가족묘지는 가족당 1개소로 제한하되, 그 면적은 100제곱미터 이하여야 한다.",O,가족묘지 면적 100m² 이하
1-3. 장사 등에 관한 법률,21,가족묘지 안의 분묘 1기 및 그 시설물의 총면적은 합장하는 경 우 20m²까지 가능하다.,X,"가족, 종중·문중, 법인묘지 안의 분묘 1기 및 시설물의 면적은 단분은 10㎡²(합장은 15m²)를 초과할 수 없어요"
1-3. 장사 등에 관한 법률,22,민법에 따라 설립된 사단법인은 법인묘지의 설치 허가를 받 을 수 없다.,O,비영리 목적으로 설립되는 민법에 의하 여 설립된 재단법인에 한하여 법인묘지의 허가를 받을 수 있거든요.
1-3. 장사 등에 관한 법률,23,최종으로 연장 받은 설치기간이 종료한 분묘의 연고자는 설치기 간 만료 후 2년 내에 분묘에 설치된 시설물을 철거해야 한다.,X,"치기간은 30년, 30년 1회 한하여 연장 가능, 종료 후 1년 이내 철거해야 해요."
1-3. 장사 등에 관한 법률,24,문중자연장지를 조성하려는 자는 관할 시장 등의 허가를 받아 야한다.,X,인자연장지: 30일 이내 신고 - 가족자연장지: 미리 신고 -종중·문중 자연장지: 미리신고 -법인 등 자연장지: 미리허가
1-3. 장사 등에 관한 법률,25,토지소유자의 승낙 없이 타인 소유의 토지에 자연장을 한 자는 토지소유자에 대하여 시효취득을 이유로 자연장의 보존을 위한 권리를 주장할 수 없다.,O,장사법 시행 후 타인 토지에 분묘를 설 치하거나 자연장을 하면 시효로 인한 취 득을 주장할 수 없어요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",26,주거용 건물에 해당하는지 여부는 임대차목적물의 공부상의 표 시만을 기준으로 정하여야 한다.,X,사실상 주거용으로 사용하면 보호돼요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",27,임차인이 임차주택의 일부를 주거 외의 목적으로 사용하면 주 택임대차보호법의 적용을 받지 못한다. (,X,일부를 주거 외로 사용해도 보호받아요. 나머지는 주택으로 사용하니까요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",28,자연인인 임차인에 한하여 주택임대차보호법에 의한 보호를 받는다.,X,"한국토지주택공사, 지방공사, 중소기업은 주임법에 따라 대항력을 취득할 수 있 는 법인입니다."
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",29,중소기업기본법에 따른 중소기업이 주택을 임차하면서 그 소 속직원의 명의로 주민등록을 한 경우 그 다음 날 중소기업은 대 항력을 취득한다.,O,중소기업기본법에 따른 중소기업은 대 항력 취득할 수 있어요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",30,일시사용을 위한 임대차임이 명백한 경우에도 주택임대차보 호법이 적용된다.,X,일시사용은 주임법이 적용되지 않아요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",31,주택의 등기를 하지 아니한 전세계약에 관하여는 주택임대차 보호법을 준용한다.,O,조문이에요. 등기하지 않은 전세계약을 체결한 경우도 주임법을 적용하여 보호 해주겠다는 말이에요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",32,주택임대차보호법에 위반된 약정으로서 임차인에게 불리한 것은 그 효력이 없다.,O,그럼요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",33,임차인이 임차주택에 대한 대항력을 취득하려면 확정일자를 요 한다.,X,"대항력은 인도와 주민등록만 하면 다음 날 발생하고, 확정일자는 대항력 취득요건이 아 니라 우선변제권을 취득하기 위한 요건이죠"
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",34,임차인이 임대차 등기를 한 때에도 주택을 인도받고 주민등록 의 이전을 하지 않으면 대항력이 인정되지 않는다.,X,등기를 했으니 인도와 주민등록의 요건을 갖추지 않아도 대항력이 인정돼요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",35,임차인이 최우선변제권이 인정되는 소액임차인인 때에도 선순 위 저당권이 실행되면 경매로 임차권은 소멸한다.,O,임차인의 선순위 저당권이 실행되면 임차 권은 무조건 소멸돼요.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",36,대항력을 유지하기 위한 요건으로서의 주민등록은 임차인뿐만 아니라 그 자녀의 주민등록도 유효하다.,O,임차인 외 가족의 주민등록도 인정
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",37,한 지번에 다가구용 단독주택 1동만 있는 경우 임차인이 전입신 고시 그 지번만 기재하고 편의상 부여된 호수를 기재하지 않았 다면 대항력을 취득하지 못한다.,X,다가구는 단독주택이니 지번만 전입신고 를 해도 대항력을 취득하죠.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",38,다세대 주택인 경우 전입신고시 지번만 기재하고 동·호수는 기재하지 않더라도 대항력을 인정받는다.,X,다세대 주택은 공동주택이므로 지번만 주 민등록을 한 경우 대항력이 없죠. 동·호 수까지 해야해요.
