단원명,문제번호,문제,정답,해설
민법총칙,1,"제한물권 포기, 시효이익 포기, 공유지분 포기는 상대방 있는 단독행위이다",O,"상대방없는 단독행위- 유언,유증,재단법인설립행위,소유권포기-유유재소"
"목적의 확정성, 가능성, 적법성 ",2,강행규정에 위반하여 무효인 계약이 상대방이 그 위반사실에 대하여 선의·무과실이더라도 표현대리 법리가 적용될 여지는 없다. ★,O,"[강행규정 위반: 절대적 무효, 사회질서위반아님]"
"목적의 확정성, 가능성, 적법성 ",3,강행규정을 위반하여 무효인 법률행위는 추인에 의해 유효로 될 수 없다. ,O,"[강행규정 위반: 절대적 무효, 사회질서위반아님]"
"목적의 확정성, 가능성, 적법성 ",4,비진의표시는 선의의 제3자에게 무효주장을 할 수 있다,X,"<제3자와의 관계>
*절대적 무효(원칙) → 모든 제3자에게 무효 주장 O
*비진의표시, 통정허위표시 → 선의의 제3자에게 무효 주장X
*명의신탁 등 선의 악의 불문하고 제3자에게 무효 주장 X
"
"목적의 확정성, 가능성, 적법성 ",5,통정허위표시 는 선의의 제3자에게 무효주장을 할 수 있다,X,"<제3자와의 관계>
*절대적 무효(원칙) → 모든 제3자에게 무효 주장 O
*비진의표시, 통정허위표시 → 선의의 제3자에게 무효 주장X
*명의신탁 등 선의 악의 불문하고 제3자에게 무효 주장 X
"
"목적의 확정성, 가능성, 적법성 ",6,명의신탁 등은 선의 악의 불문하고  선의의 제5자에게 무효주장을 할 수 없다,O,"<제3자와의 관계>
*절대적 무효(원칙) → 모든 제3자에게 무효 주장 O
*비진의표시, 통정허위표시 → 선의의 제3자에게 무효 주장X
*명의신탁 등 선의 악의 불문하고 제3자에게 무효 주장 X"
"목적의 확정성, 가능성, 적법성 ",7,무효인 법률행위는 당사자 간 이행 전에는 이행할 필요 없다,O,무경험은 특정 영역 경험부족이 아니라 거래일반에 대한 경험부족을 의미한다. ★
"목적의 확정성, 가능성, 적법성 ",8,국가기관이 위헌적인 공권력을 행사하여 강박 상태에서 의사표시를 하더라도 항상 그것이 반사회성을 띠어 무효가 되는 것은 아니다. ★,O,"•사회질서위반이 아닌 경우
① 강박
② 조세포탈 목적, 투기 목적
③ 강제집행면탈 목적"
"목적의 확정성, 가능성, 적법성 ",9,변호사 아닌 자가 승소를 조건으로 그 대가로 소송물 일부를 양도 받기로 하는 약정은 반사회적 법률행위에 해당하여 무효이다. ,O,변호사 아닌 자 →사회질서위반 
"목적의 확정성, 가능성, 적법성 ",10,민사사건에 관하여 변호사와 체결한 성공보수약정은 반사회적 법률행위에 해당하지 않는다 ,O,성공보수약정 :민사사건 유효   /형사사건 무효 
"목적의 확정성, 가능성, 적법성 ",11,형사사건에 대한 의뢰인과 변호사의 성공보수약정은 강행법규위반으로서 무효일 뿐 반사회적 법률행위는 아니다. ,x,성공보수약정 :민사사건 유효   /형사사건 무효 
"목적의 확정성, 가능성, 적법성 ",12,뇌물로 받은 '금전을 소극적으로 은닉하기 위하여 이를 임치하는 약정은 반사회적 법률 행위에 해당하지 않는다 ,O,비자금→ 은닉→임치→사회질서위반 X 
"목적의 확정성, 가능성, 적법성 ",13,수사기관에서 허위진술의 대가를 지급하기로 한 약정은 그 대가가 적정하다면 반사회적 법률행위에 해당하지 않는다. ★,X,대기약정 : 허위진술→ 무효 /증언→ 초과 →무효 
"목적의 확정성, 가능성, 적법성 ",14,소송에서 사실대로 증언하여 줄 것을 조건으로 통상적으로 용인될 수 있는 수준을 초과한 경우에는 반사회적 법률행위에 해당하여 무효이다. ★,O,대기약정 : 허위진술→ 무효 /증언→ 초과 →무효 
"목적의 확정성, 가능성, 적법성 ",15,과도한 위약벌 약정은 법원의 직권감액이 가능하므로 선량한 풍속 기타 사회질서에 반할 여지가 없다. ,X,"과도한 위약벌약정, 보험사고 가장, 궁지에 빠뜨린 다음→ 사회질서위반 "
