단원명,문제번호,문제,정답,해설
1. 조세총론,1,지방자치단체의 장은 재산세의 납부세액이 1천만원을 초과하는 경우에는 납세의무자의 신청을 받아 해당 지방자치단체의 관할구역에 있는 부동산에 대하여만 대통령령으로 정 하는 바에 따라 물납을 허가할 수 있다. ,O,옳은지문
1. 조세총론,2, 재산세가 분할납부 대상에 해당하는 경우에도 소방분 지역자원시설세는 분할납부할 수 없다.,X,재산세가 분할납부 대상에 해당하는 경우 소방분 지역자원시설세도 분할 납부할 수 있다. 
1. 조세총론,3,납세의무자란 지방세법에 따라 지방세를 납부할 의무(특별징수의무자를 포함)가 있는 자를 말한다. ,X,특별징수의무자는 포함하지 아니한다.
1. 조세총론,4,과세표준과 세액을 과세권자가 결정하는 때 세액이 확정됨이 원칙이나 납세의무자가 법 정신고기간 내 이를 신고하는 때에는 과세권자의 결정이 없었던 것으로 보는 세목은 종합부동산세 이다. ,O,옳은지문
1. 조세총론,5,지방세 징수법상 체납액이란 체납된 지방세와 체납처분비를 말한다. ,O,옳은지문
1. 조세총론,6,지방자치단체 징수금의 징수순위는 체납처분비-지방세(가산세 제외)-가산세 순서에 따른다. ,O,옳은지문
1. 조세총론,7,무신고가산세(사기나 그 밖의 부정한 행위로 인하지 않은 경우)는 무신고납부세액의 100의 20에 상당하는 금액으로 한다. ,O,옳은지문
1. 조세총론,8,"지방세의 가산세는 해당 의무가 규정된 해당 지방세의 세목으로 하며 해당 지방세를 감면하는 경우, 가산세는 그 감면대상에 포함시키지 아니하는 것으로 본다. ",O,옳은지문
1. 조세총론,9,고지서 1장당 재산세로 징수할 세액이 2천원인 경우에는 해당 재산세를 징수하지 아니한다. ,X,"2,000원부터는 징수한다. "
1. 조세총론,10,면세점이라 함은 과세표준 금액이 일정금액 또는 일정면적 이하가 되면 조세를 부과하지 않는 것을 말한다. ,O,옳은지문
1. 조세총론,11,"농어촌특별세, 지방교육세, 인지세는 부동산을 취득하는 경우, 취득단계에서 부담할 수 있는 조세이다. ",O,옳은지문
1. 조세총론,12,"농어촌특별세, 지방교육세, 지방소득세, 소방분에 대한 지역자원시설세는 보유단계에서 부담할 수 있는 세목이다. ",O,옳은지문
1. 조세총론,13,지방소득세는 보유와 양도단계에서 공통으로 부과할 수 있는 조세이다. ,O,옳은지문
1. 조세총론,14,양도소득은 다른 소득과 합산하여 종합소득세로 신고하고 납부하여야 한다.. ,X,양도소득은 다른 소득과 합산하지 아니하고 분류과세 한다.
1. 조세총론,15,종합부동산세는 주택에 대한 종합부동산세와 토지에 대한 종합부동산세의 세액을 합한 금액을 그 세액으로 한다. ,O,옳은지문
1. 조세총론,16,"""보통징수""란 지방세를 징수할 때 편의상 징수할 여건이 좋은 자로 하여금 징수하게 하고 그 징수한 세금을 납부하게 하는 것을 말한다. ",X,특별징수를 말한다.
1. 조세총론,17,납세의무의 성립시기로 옳은 것 - 소득세 : 소득을 지급하는 때 ,O,옳은지문
1. 조세총론,18,납세의무의 성립시기로 옳은 것 -  농어촌특별세 : 과세기간이 종료하는 때 ,O,옳은지문
1. 조세총론,19,납세의무의 성립시기로 옳은 것 - 재산세 과세기준일,O,옳은지문
1. 조세총론,20,납세의무의 성립시기로 옳은 것 - 지방교육세: 그 과세표준이 되는 세목의 납세의무가 성립하는 때 ,O,옳은지문
1. 조세총론,21,납세의무의 성립시기로 옳은 것 - 수시부과에 의하여 징수하는 재산세 : 수시부과할 사유가 발생하는 때 ,O,옳은지문
1. 조세총론,22,취득세는 취득세 과세물건을 취득하는 때에 납세의무가 성립한다. ,O,옳은지문
1. 조세총론,23,등록면허세는 재산권 등 그 밖의 권리를 등기 또는 등록하는 때에 납세의무가 성립한다. ,O,옳은지문
1. 조세총론,24,종합부동산세는 과세기준일에 납세의무가 성립한다. ,O,옳은지문
1. 조세총론,25,재산세는 과세기준일(매년 6월 1일)에 납세의무가 확정된다. ,X,과세기준일에 납세의무가 성립되고 과세권자가 결정하는 때 확정된다. 
1. 조세총론,26,개인분 주민세의 경우 과세기준일(매년 6월 1일)에 납세의무가 성립한다. ,X,주민세는 매년 7월 1일이 과세기준일이다.
1. 조세총론,27,등록에 대한 등록면허세는 재산권 등을 등기 또는 등록하는 때에 납세의무가 성립하고 납세의무자의 신고가 있더라도 지방자치단체가 과세표준과 세액을 결정하는 때에 확정된다. ,X,신고납부 조세로 신고하면 신고할 때 납세의무가 확정되고 신고를 하지 않은 경우 지방자치단체가 결정할 때 확정된다. 
1. 조세총론,28,종합부동산세의 경우 부과제척기간의 기산일은 과세표준과 세액에 대한 신고기한의 다음 날이다. ,X,종합부동산세의 경우 부과제척기간의 기산일은 납세의무성립일이다. 
1. 조세총론,29,중간예납하는 소득세는 중간예납기간이 끝나는 때(6월 30일) 납세의무가 성립한다. ,O,옳은지문
1. 조세총론,30,지방세 부과의 제척기간은 권리관계를 조속히 확정. 안정시키려는 것으로 지방세징수권 소멸시효와는 달리 기간의 중단이나 정지가 없다. ,O,옳은지문
1. 조세총론,31,국세기본법상 사기나 그 밖의 부정한 행위로 주택의 양도소득세를 포탈하는 경우 국세부과의 제척기간은 7년이다. ,O,옳은지문
1. 조세총론,32,납세자가 법정신고기한까지 소득세의 과세표준신고서를 제출하지 아니하여 해당 지방소득세를 부과할 수 없는 경우에 지방세 부과 제척기간은 5년이다. ,O,옳은지문
1. 조세총론,33,종합부동산세 납부고지서의 발송일 전에 주택임대차보호법 제2조에 따른 주거용 건물 전세권 설정 등기 사실이 증명되는 재산을 매각하여 그 매각금액에서 종합부동산세를 징 수하는 경우 종합부동산세는 주거용 건물 전세권에 따라 담보된 채권에 우선한다. ,X,종합부동산세 납부고지서의 발송일 전에 주택임대차보호법 제2조에 따른 주거용 건물 전세권 설정 등기 사실이 증명되는 재산을 매각하여 그 매각금액에서 종합부동산세를 징수하는 경우 주거용 건물 전세권에 따라 담보된 채권이 종합부동산세에 우선한다. 
1. 조세총론,34,취득세 신고서를 납세지 관할 지방자치단체장에게 제출한 날 전에 저당권 설정 등기 사 실이 증명되는 재산을 매각하여 그 매각대금에서 취득세를 징수하는 경우 저당권에 따라 담보된 채권은 취득세에 우선한다. ,O,옳은지문
1. 조세총론,35,납세담보물 매각시 압류에 관계되는 조세채권은 담보 있는 조세채권보다 우선한다. ,X,"납세담보가 되어 있는 재산 매각의 경우 압류가 되어 있는 경우에도 징수순위는 1순위: 담보된 세금, 2순위: 압류한 세금, 3순위 : 교부청구한 세금순으로 징수한다."
1. 조세총론,36,"납세의무자가 취득세를 신고하였으나 지방자치단체의 장이 경정하는 경우, 납세고지한 세액에 대한 지방세 징수권을 행사할 수 있는 때는 그 납세고지서에 따른 납부기한의 다 음 날이다. ",O,옳은지문
1. 조세총론,37,이의신청은 처분이 있은 것을 안 날(처분의 통지를 받은 날)부터 90일 이내에 하여야 한다. ,O,옳은지문
1. 조세총론,38,심판청구는 그 처분의 집행에 효력이 미치지 아니하지만 압류한 재산에 대하여는 심판청구의 결정이 있는 날부터 30일까지 그 공매처분을 보류할 수 있다. ,O,옳은지문
1. 조세총론,39,지방세기본법상 통고처분은 이의신청 또는 심판청구의 대상이 되는 처분에 포함하지 아니한다. ,O,옳은지문
1. 조세총론,40,지방세에 관한 불복시 불복청구인은 이의신청을 거치지 않고 심판청구를 제기할 수 없다. ,X,지방세에 관한 불복 시 불복청구인은 이의신청을 거치지 않고 심판청구를 제기할 수 있다. 
1. 조세총론,41,지방세에 관한 불복시 불복청구인은 심판청구를 거치지 아니하고 행정소송을 제기할 수 있다. ,X,지방세에 관한 불복 시 불복 청구인은 심판청구를 거치지 아니하고 행정소송을 제기할 수 없다. 
1. 조세총론,42,연대납세의무자에게 납세의 고지에 관한 서류를 송달할 때에는 연대납세의무자 모두에게 각각 송달하여야 한다. ,O,옳은지문
1. 조세총론,43,교부에 의한 서류송달의 경우에 송달할 장소에서 서류를 송달받아야할 자를 만나지 못하 였을 때에는 그의 사용인으로서 사리를 분별할수 있는 사람에게 서류를 송달할 수 있다. ,O,옳은지문
1. 조세총론,44,서류의 송달을 받아야 할 자의 주소 또는 영업소가 분명하지 아니한 경우에는 서류의 주요 내용을 공고한 날부터 14일이 지나면 서류의 송달이 된 것으로 본다. ,O,옳은지문
2. 지방세-취득세,45,"콘도미니엄 회원권, 등기된 부동산 임차권, 골프 회원권, 지목이 잡종지인 토지, 승마 회원권 모두는 지방세법상 취득세 과세객체가 되는 취득의 목적물에 해당된다. ",X,등기된 부동산 임차권은 양도소득세 과세대상이다.
2. 지방세-취득세,46,취득세의 과세대상은 부동산 · 차량 · 기계장비 · 입목·항공기·선박·광업권 어업권. 양식업권 · 골프 회원권 · 콘도미니엄 회원권 · 종합체육시설 이용 회원권 · 승마 회원권· 요트 회원권이다. ,O,옳은지문
2. 지방세-취득세,47,"교환에 의한 농지의 취득, 건축물의 건축, 증여에 의한 콘도미니엄 회원권의 취득매매에 의한 특허권의 취득, 토지의 사실상 지목변경으로 가액의 증가, 이 모두는 취득세의 과세 대상에 해당된다. ",X,특허권은 취득세 과세대상이 아니다.
2. 지방세-취득세,48,차량. 기계장비 · 항공기 및 주문에 의하여 건조하는 선박은 원시취득에 한하여 납세의무가 있다. 이 ,X,원시취득은 과세하지 아니하고 승계취득의 경우 과세한다. 
2. 지방세-취득세,49,「민법」 등 관계법령에 따른 등기를 하지 아니한 부동산의 취득은 사실상 취득하더라도 취득한 것으로 볼 수 없다. ,X,취득세는 등기를 하지 않은 경우에도 사실상 취득하면 취득으로 보아 과세한다.
2. 지방세-취득세,50,토지의 지목을 사실상 변경함으로써 그 가액이 증가한 경우는 이를 취득으로 본다. ,O,옳은지문
2. 지방세-취득세,51,개인 간에 부동산을 교환하는 경우에는 취득세를 과세하지 아니한다. ,X,교환도 유상승계취득으로 취득세를 과세한다.
2. 지방세-취득세,52,지방세법상 부동산의 유상취득으로 보는 경우- 공매를 통하여 배우자의 부동산을 취득한 경우 ,O,옳은지문
2. 지방세-취득세,53,지방세법상 부동산의 유상취득으로 보는 경우- 파산선고로 인하여 처분되는 직계비속의 부동산을 취득한 경우 ,O,옳은지문
2. 지방세-취득세,54,지방세법상 부동산의 유상취득으로 보는 경우-배우자의 부동산을 취득한 경우로서 그 취득대가를 지급한 사실을 증명한 경우 ,O,옳은지문
2. 지방세-취득세,55,지방세법상 부동산의 유상취득으로 보는 경우-권리의 이전이나 행사에 등기가 필요한 부동산을 직계존속과 서로 교환한 경우 ,O,옳은지문
2. 지방세-취득세,56,지방세법상 부동산의 유상취득으로 보는 경우- 증여자의 채무를 인수하는 부담부증여(배우자직계존비속은 제외)로 취득한 경우로 서 그 채무액에 상당하는 부분을 제외한 나머지 부분의 경우 ,X,부담부 증여의 경우 채무 부담부분은 유상취득으로 보고 채무 이외의 부분은 무상취득으로 본다. 
2. 지방세-취득세,57,과점주주 집단 내부에서 주식이 이전되었으나 과점주주 집단이 소유한 총주식의 비율에 변동이 없는 경우 취득으로 보지 아니한다. ,O,옳은지문
2. 지방세-취득세,58,법인 설립시 발행하는 주식 또는 지분을 취득함으로써 과점주주가 되었을 때에는 그 과점주주가 해당 법인의 부동산 등을 취득한 것으로 본다. ,X,설립당시 과점주주는 과세하지 않는다. 
2. 지방세-취득세,59,다른 주주의 주식이 감자됨으로써 비상장법인 과점주주의 지분비율이 증가한 경우에는 취득세 납세의무가 있다. ,X,증자로 인한 지분증가는 취득으로 보지만 감자로 인한 경우는 취득으로 보지 아니한다. 
2. 지방세-취득세,60,설립시 지분비율이 40%인 주주가 지분 20%를 증자로 추가로 취득한 경우에 취득으로 간주되는 지분비율은 20%이다. ,X,최초 과점주주로 60%를 취득으로 본다. 
2. 지방세-취득세,61,설립시 지분비율이 60%인 주주가 지분 10%를 증자로 추가로 취득한 경우에 취득으로 간주되는 지분비율은 70%이다. ,X,증가분인 10% 를 취득으로 본다. 
2. 지방세-취득세,62,토지 건축물의 경우 승계취득의 경우 과세하고 원시취득의 경우에는 과세하지 아니한다. ,X,토지 건축물의 경우 승계취득. 원시취득 모두 과세한다.
3. 취득세-납세의무자,63,외국인 소유의 선박을 직접 사용할 목적으로 일차하여 수입하는 경우는 수입하는 자가 이를 취득한 것으로 본다. ,O,옳은지문
3. 취득세-납세의무자,64,배우자 직계존비속으로부터 취득한 경우로서 그 대가를 지급한 사실이 증명된 경우에는 유상으로 취득한 것으로 본다. ,O,옳은지문
3. 취득세-납세의무자,65,상속으로 인하여 취득하는 경우에는 상속인 각자가 상속받는 과제물건을 취득한 것으로 보아 취득세의 납세의무를 진다. 이때 공동상속의 경우 공동상속인이 연대하여 납부할 의무를 진다. ,O,옳은지문
3. 취득세-납세의무자,66,건축물의 조작 기타 부대설비에 속하는 부분으로서 그 주체구조부와 일체가 되어 건축물 의 효용가치를 이루고 있는 것이라 하더라도 주체구조부 취득자 이외의 자가 가설한 경우에는 이를 개설한 자가 납세의무자가 된다. ,X,주체구조부 취득자가 납세의무자이다
3. 취득세-납세의무자,67,부동산의 취득은 「민법」 등 관계 법령에 따른 등기를 하지 아니한 경우라도 사실상 취득하면 취득한 것으로 본다. ,O,옳은지문
3. 취득세-납세의무자,68, 「주택법」에 따른 주택조합이 해당 조합원으로 취득하는 조합주택용 부동산(조합원에게 귀속되지 아니하는 부동산은 제외)은 그 조합원이 취득한 것으로 본다. ,O,옳은지문
3. 취득세-납세의무자,69,「도시개발법」에 따른 도시개발사업(환지방식만 해당)의 시행으로 토지의 지목이 사실상 변경된 때에는 그 환지계획에 따라 공급되는 환자는 조합원이 체비지 보류지는 사업시행 자가 각각 취득한 것으로 본다 ,O,옳은지문
3. 취득세-납세의무자,70,직계비속이 권리의 이전에 등기가 필요한 직계존속의 부동산을 서로 교환한 경우 무상으로 취득한 것으로 본다. ,X,직계비속이 권리의 이전에 등기가 필요한 직계존속의 부동산을 서로 교환한 경우에는 유상으로 취득한 것으로 본다.
3. 취득세-납세의무자,71,직계비속이 공매를 통하여 직계존속의 부동산을 취득한 경우 유상으로 취득한 것으로 본다. ,O,옳은지문
3. 취득세-납세의무자,72,비상장법인의 설립당시 과점주주가 된 경우에는 해당 법인의 부동산 등을 취득한 것으로 보지 아니한다. ,O,옳은지문
3. 취득세-납세의무자,73,증여자의 채무를 인수하는 부담부증여(배우자 직계존비속은 제외)의 경우 그 채무액에 해당하는 부분을 제외한 부분은 유상으로 취득한 것으로 본다. ,X,그 채무액에 해당하는 부분을 유상취득으로 보고 채무액을 제외한 부분은 무상으로 취득한 것으로 본다. 
3. 취득세-납세의무자,74, 「신탁법」에 따라 신탁재산의 위탁자 지위 이전이 있는 경우에는 새로운 위탁자가 해당 신탁재산을 취득한 것으로 본다. ,O,옳은지문
3. 취득세-납세의무자,75,증여로 인한 승계취득의 경우 해당 취득물건을 등기 · 등록을 하더라도 취득일이 속한 달의 말일부터 3개월 이내에 공증받은 공정증서에 의하여 계약이 해제된 사실이 입증되는 경우에는 취득한 것으로 보지 아니한다. ,X,등기 등록을 하지 아니한 경우에 취득으로 보지 아니한다. 
4. 취득세-비과세,76,지방자치단체에 기부채납을 조건으로 부동산을 취득하는 경우라도 그 반대급부로 기부 채납 대상물의 무상사용권을 제공받은 때에는 그 해당 부분에 대해서는 취득세를 부과한다.,O,옳은지문
4. 취득세-비과세,77," 대한민국 정부기관의 취득에 대하여 과세하는 외국정부의 취득의 경우, 취득세를 부과한다.",O,옳은지문
4. 취득세-비과세,78, 법령이 정하는 고급주택에 해당하는 임시건축물의 취득은 취득세가 비과세된다. ,X, 사치성 재산은 비과세하지 아니한다.
4. 취득세-비과세,79,"국가, 지방자치단체(다른 법률에서 국가 또는 지방자치단체로 의제되는 법인은 제외한다. 또는 지방자치단체조합에 귀속 또는 기부채납을 조건으로 취득하는 부동산에 대하여 는 취득세를 부과하지 아니한다. ",O,옳은지문
4. 취득세-비과세,80,신탁의 종료 또는 해지로 인하여 수탁자로부터 신탁재산이 위탁자에게 이전되는 경우 취득세를 부과하지 아니한다. ,O,옳은지문
4. 취득세-비과세,81, 「건축법」상 대수선으로 인해 공동주택을 취득한 경우에는 취득세를 부과하지 아니한다. ,X,「건축법」상 대수선은 비과세하지 아니한다. 
4. 취득세-비과세,82,직계존속으로부터 거주하는 주택을 증여 받은 경우 취득세를 부과하지 아니한다. ,X,증여로 취득한 것으로 보아 취득세를 납부하여야 한다.
4. 취득세-비과세,83,파산선고로 인하여 처분되는 부동산을 취득한 경우 취득세를 부과하지 아니한다. ,X,파산선고로 인하여 처분되는 부동산을 취득한 경우 양도소득세는 비과세를 하지만 취득세는 과세한다. 
4. 취득세-비과세,84,신탁(「신탁법」에 따른 신탁으로서 신탁등기가 병행되는 것만 해당한다)으로 인한 신탁재 산의 취득 중 주택조합 등과 조합원 간의 부동산 취득에 대해서는 취득세를 부과한다. ,O,옳은지문
4. 취득세-비과세,85,영리법인이 취득한 임시흥행장의 존속기간이 1년을 초과하는 경우에는 취득세를 부과한다. ,O,옳은지문
5. 취득세-취득시기,86,유상승계취득의 경우 신고인이 제출한 자료로 사실상 잔금지급일이 확인되지 아니한 경우에는 계약상 잔금지급일을 취득시기로 본다. ,O,옳은지문
5. 취득세-취득시기,87,토지 지목변경의 경우 사실상 변경된 날과 공부상 변경 된 날 중 빠른 날을 취득일로 본다. ,O,옳은지문
5. 취득세-취득시기,88,개인 간 증여계약에 의하여 부동산을 취득한 경우에는 그 계약일부터 60일이 경과되는 날을 취득시기로 본다. ,X,계약일을 취득일로 본다(양도소득세는 증여를 받은 날을 취득일로 본다
5. 취득세-취득시기,89,상속으로 인하여 부동산을 취득한 경우에는 상속개시일에 취득한 것으로 본다. ,O,옳은지문
5. 취득세-취득시기,90,건축허가를 받지 아니하고 건축하는 건축물에 있어서는 그 사실상의 사용일에 취득한 것 으로 본다. ,O,옳은지문
5. 취득세-취득시기,91,토지의 지목변경에 따른 취득은 지목변경일 이전에 그 사용 여부와 관계없이 사실상 변경된 날과 공부상 변경된 날 중 빠른 날을 취득일로 한다. ,X,지목변경 전에 사용하는 경우 사실상 사용일을 취득일로 본다. 
